127.0.0.1 - - [05/Feb/2019:14:08:15 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:08:16 +0900] "GET /boardproject/loginstatus3.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:08:16 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:08:29 +0900] "GET /boardproject/loginstatus3.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:08:29 +0900] "GET /boardproject/loginstatus3.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:08:33 +0900] "GET /boardproject/loginstatus3.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:09:00 +0900] "GET /boardproject/loginstatus3.jsp HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:09:06 +0900] "GET /boardproject/loginstatus3.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:48:47 +0900] "GET /boardproject/login2.jsp HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:48:50 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:48:51 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:48:51 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:48:52 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [05/Feb/2019:14:48:52 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 508
